,lattitude,longitude,Mon Oct  4 09:02:29 2021,Mon Oct  4 09:03:35 2021,Mon Oct  4 09:04:40 2021,Mon Oct  4 09:05:44 2021,Mon Oct  4 09:06:49 2021,Mon Oct  4 09:07:54 2021,Mon Oct  4 09:08:58 2021,Mon Oct  4 09:10:03 2021,Mon Oct  4 09:11:08 2021,Mon Oct  4 09:12:12 2021,Mon Oct  4 09:13:16 2021,Mon Oct  4 09:14:20 2021,Mon Oct  4 09:15:25 2021,Mon Oct  4 09:16:30 2021,Mon Oct  4 09:17:34 2021,Mon Oct  4 09:18:38 2021,Mon Oct  4 09:19:42 2021,Mon Oct  4 09:20:46 2021,Mon Oct  4 09:21:51 2021,Mon Oct  4 09:22:57 2021,Mon Oct  4 09:24:01 2021,Mon Oct  4 09:25:05 2021,Mon Oct  4 09:26:09 2021,Mon Oct  4 09:27:12 2021,Mon Oct  4 09:28:17 2021,Mon Oct  4 09:29:22 2021,Mon Oct  4 09:30:26 2021,Mon Oct  4 09:31:30 2021,Mon Oct  4 09:32:33 2021,Mon Oct  4 09:33:37 2021,Mon Oct  4 09:34:41 2021,Mon Oct  4 09:35:45 2021,Mon Oct  4 09:36:49 2021,Mon Oct  4 09:37:53 2021,Mon Oct  4 09:38:57 2021,Mon Oct  4 09:40:02 2021,Mon Oct  4 09:41:05 2021,Mon Oct  4 09:42:10 2021,Mon Oct  4 09:43:15 2021,Mon Oct  4 09:44:19 2021,Mon Oct  4 09:45:23 2021,Mon Oct  4 09:46:27 2021,Mon Oct  4 09:47:31 2021,Mon Oct  4 09:48:34 2021,Mon Oct  4 09:49:38 2021,Mon Oct  4 09:50:43 2021,Mon Oct  4 09:51:47 2021,Mon Oct  4 09:52:51 2021,Mon Oct  4 09:53:55 2021,Mon Oct  4 09:55:01 2021,Mon Oct  4 09:56:05 2021,Mon Oct  4 09:57:10 2021,Mon Oct  4 09:58:14 2021,Mon Oct  4 09:59:18 2021,Mon Oct  4 10:00:23 2021,Mon Oct  4 10:01:27 2021,Mon Oct  4 10:02:31 2021,Mon Oct  4 10:03:35 2021,Mon Oct  4 10:04:39 2021,Mon Oct  4 10:05:43 2021,Mon Oct  4 10:06:47 2021,Mon Oct  4 10:07:52 2021,Mon Oct  4 10:08:56 2021,Mon Oct  4 10:10:00 2021,Mon Oct  4 10:11:05 2021,Mon Oct  4 10:12:09 2021,Mon Oct  4 10:13:13 2021,Mon Oct  4 10:14:19 2021,Mon Oct  4 10:15:24 2021,Mon Oct  4 10:16:30 2021
MLK Jr Dr & 56th St,41.793429,-87.615853,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Mon Oct  4 10:10:00 2021    2
Name: MLK Jr Dr & 56th St, dtype: int64","Mon Oct  4 10:11:05 2021    2
Name: MLK Jr Dr & 56th St, dtype: int64","Mon Oct  4 10:12:09 2021    2
Name: MLK Jr Dr & 56th St, dtype: int64","Mon Oct  4 10:13:13 2021    2
Name: MLK Jr Dr & 56th St, dtype: int64","Mon Oct  4 10:14:19 2021    2
Name: MLK Jr Dr & 56th St, dtype: int64","Mon Oct  4 10:15:24 2021    2
Name: MLK Jr Dr & 56th St, dtype: int64","Mon Oct  4 10:16:30 2021    2
Name: MLK Jr Dr & 56th St, dtype: int64"
DuSable Museum,41.791568,-87.607852,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Mon Oct  4 10:10:00 2021    3
Name: DuSable Museum, dtype: int64","Mon Oct  4 10:11:05 2021    3
Name: DuSable Museum, dtype: int64","Mon Oct  4 10:12:09 2021    3
Name: DuSable Museum, dtype: int64","Mon Oct  4 10:13:13 2021    3
Name: DuSable Museum, dtype: int64","Mon Oct  4 10:14:19 2021    3
Name: DuSable Museum, dtype: int64","Mon Oct  4 10:15:24 2021    3
Name: DuSable Museum, dtype: int64","Mon Oct  4 10:16:30 2021    3
Name: DuSable Museum, dtype: int64"
University Ave & 57th St,41.791478,-87.599861,25,24,24,24,24,25,25,25,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,25,23,23,21,22,20,20,18,18,18,18,18,18,19,19,"Mon Oct  4 10:10:00 2021    19
Name: University Ave & 57th St, dtype: int64","Mon Oct  4 10:11:05 2021    19
Name: University Ave & 57th St, dtype: int64","Mon Oct  4 10:12:09 2021    20
Name: University Ave & 57th St, dtype: int64","Mon Oct  4 10:13:13 2021    20
Name: University Ave & 57th St, dtype: int64","Mon Oct  4 10:14:19 2021    20
Name: University Ave & 57th St, dtype: int64","Mon Oct  4 10:15:24 2021    20
Name: University Ave & 57th St, dtype: int64","Mon Oct  4 10:16:30 2021    20
Name: University Ave & 57th St, dtype: int64"
Museum of Science and Industry,41.791728,-87.583945,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mon Oct  4 10:10:00 2021    0
Name: Museum of Science and Industry, dtype: int64","Mon Oct  4 10:11:05 2021    0
Name: Museum of Science and Industry, dtype: int64","Mon Oct  4 10:12:09 2021    0
Name: Museum of Science and Industry, dtype: int64","Mon Oct  4 10:13:13 2021    0
Name: Museum of Science and Industry, dtype: int64","Mon Oct  4 10:14:19 2021    0
Name: Museum of Science and Industry, dtype: int64","Mon Oct  4 10:15:24 2021    0
Name: Museum of Science and Industry, dtype: int64","Mon Oct  4 10:16:30 2021    0
Name: Museum of Science and Industry, dtype: int64"
Harper Ave & 59th St,41.787942,-87.588315,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Mon Oct  4 10:10:00 2021    3
Name: Harper Ave & 59th St, dtype: int64","Mon Oct  4 10:11:05 2021    3
Name: Harper Ave & 59th St, dtype: int64","Mon Oct  4 10:12:09 2021    3
Name: Harper Ave & 59th St, dtype: int64","Mon Oct  4 10:13:13 2021    3
Name: Harper Ave & 59th St, dtype: int64","Mon Oct  4 10:14:19 2021    3
Name: Harper Ave & 59th St, dtype: int64","Mon Oct  4 10:15:24 2021    3
Name: Harper Ave & 59th St, dtype: int64","Mon Oct  4 10:16:30 2021    3
Name: Harper Ave & 59th St, dtype: int64"
Ellis Ave & 60th St,41.785097,-87.601072,3,3,3,2,2,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,3,3,3,5,5,6,6,7,7,7,7,8,8,8,8,8,8,8,8,8,9,9,8,8,8,8,9,9,10,10,10,10,10,10,9,9,9,10,10,10,10,10,10,"Mon Oct  4 10:10:00 2021    10
Name: Ellis Ave & 60th St, dtype: int64","Mon Oct  4 10:11:05 2021    10
Name: Ellis Ave & 60th St, dtype: int64","Mon Oct  4 10:12:09 2021    10
Name: Ellis Ave & 60th St, dtype: int64","Mon Oct  4 10:13:13 2021    10
Name: Ellis Ave & 60th St, dtype: int64","Mon Oct  4 10:14:19 2021    10
Name: Ellis Ave & 60th St, dtype: int64","Mon Oct  4 10:15:24 2021    10
Name: Ellis Ave & 60th St, dtype: int64","Mon Oct  4 10:16:30 2021    10
Name: Ellis Ave & 60th St, dtype: int64"
Cottage Grove Ave & 63rd St,41.7806,-87.605836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mon Oct  4 10:10:00 2021    0
Name: Cottage Grove Ave & 63rd St, dtype: int64","Mon Oct  4 10:11:05 2021    0
Name: Cottage Grove Ave & 63rd St, dtype: int64","Mon Oct  4 10:12:09 2021    0
Name: Cottage Grove Ave & 63rd St, dtype: int64","Mon Oct  4 10:13:13 2021    0
Name: Cottage Grove Ave & 63rd St, dtype: int64","Mon Oct  4 10:14:19 2021    0
Name: Cottage Grove Ave & 63rd St, dtype: int64","Mon Oct  4 10:15:24 2021    0
Name: Cottage Grove Ave & 63rd St, dtype: int64","Mon Oct  4 10:16:30 2021    0
Name: Cottage Grove Ave & 63rd St, dtype: int64"
Dorchester Ave & 63rd St,41.780405,-87.591415,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Mon Oct  4 10:10:00 2021    4
Name: Dorchester Ave & 63rd St, dtype: int64","Mon Oct  4 10:11:05 2021    4
Name: Dorchester Ave & 63rd St, dtype: int64","Mon Oct  4 10:12:09 2021    4
Name: Dorchester Ave & 63rd St, dtype: int64","Mon Oct  4 10:13:13 2021    4
Name: Dorchester Ave & 63rd St, dtype: int64","Mon Oct  4 10:14:19 2021    4
Name: Dorchester Ave & 63rd St, dtype: int64","Mon Oct  4 10:15:24 2021    4
Name: Dorchester Ave & 63rd St, dtype: int64","Mon Oct  4 10:16:30 2021    4
Name: Dorchester Ave & 63rd St, dtype: int64"
Cottage Grove Ave & 67th St,41.77372,-87.605634,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"Mon Oct  4 10:10:00 2021    6
Name: Cottage Grove Ave & 67th St, dtype: int64","Mon Oct  4 10:11:05 2021    6
Name: Cottage Grove Ave & 67th St, dtype: int64","Mon Oct  4 10:12:09 2021    6
Name: Cottage Grove Ave & 67th St, dtype: int64","Mon Oct  4 10:13:13 2021    6
Name: Cottage Grove Ave & 67th St, dtype: int64","Mon Oct  4 10:14:19 2021    6
Name: Cottage Grove Ave & 67th St, dtype: int64","Mon Oct  4 10:15:24 2021    6
Name: Cottage Grove Ave & 67th St, dtype: int64","Mon Oct  4 10:16:30 2021    6
Name: Cottage Grove Ave & 67th St, dtype: int64"
MLK Jr Dr & 63rd St,41.78008,-87.615942,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Mon Oct  4 10:10:00 2021    1
Name: MLK Jr Dr & 63rd St, dtype: int64","Mon Oct  4 10:11:05 2021    1
Name: MLK Jr Dr & 63rd St, dtype: int64","Mon Oct  4 10:12:09 2021    1
Name: MLK Jr Dr & 63rd St, dtype: int64","Mon Oct  4 10:13:13 2021    1
Name: MLK Jr Dr & 63rd St, dtype: int64","Mon Oct  4 10:14:19 2021    1
Name: MLK Jr Dr & 63rd St, dtype: int64","Mon Oct  4 10:15:24 2021    1
Name: MLK Jr Dr & 63rd St, dtype: int64","Mon Oct  4 10:16:30 2021    1
Name: MLK Jr Dr & 63rd St, dtype: int64"
Eberhart Ave & 61st St,41.784141,-87.613307,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,"Mon Oct  4 10:10:00 2021    9
Name: Eberhart Ave & 61st St, dtype: int64","Mon Oct  4 10:11:05 2021    9
Name: Eberhart Ave & 61st St, dtype: int64","Mon Oct  4 10:12:09 2021    9
Name: Eberhart Ave & 61st St, dtype: int64","Mon Oct  4 10:13:13 2021    9
Name: Eberhart Ave & 61st St, dtype: int64","Mon Oct  4 10:14:19 2021    9
Name: Eberhart Ave & 61st St, dtype: int64","Mon Oct  4 10:15:24 2021    9
Name: Eberhart Ave & 61st St, dtype: int64","Mon Oct  4 10:16:30 2021    9
Name: Eberhart Ave & 61st St, dtype: int64"
Clark St & Lunt Ave,42.009074,-87.67419,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,"Mon Oct  4 10:10:00 2021    8
Name: Clark St & Lunt Ave, dtype: int64","Mon Oct  4 10:11:05 2021    8
Name: Clark St & Lunt Ave, dtype: int64","Mon Oct  4 10:12:09 2021    8
Name: Clark St & Lunt Ave, dtype: int64","Mon Oct  4 10:13:13 2021    8
Name: Clark St & Lunt Ave, dtype: int64","Mon Oct  4 10:14:19 2021    8
Name: Clark St & Lunt Ave, dtype: int64","Mon Oct  4 10:15:24 2021    8
Name: Clark St & Lunt Ave, dtype: int64","Mon Oct  4 10:16:30 2021    8
Name: Clark St & Lunt Ave, dtype: int64"
Kedzie Ave & Harrison St,41.873599,-87.70487,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Mon Oct  4 10:10:00 2021    3
Name: Kedzie Ave & Harrison St, dtype: int64","Mon Oct  4 10:11:05 2021    3
Name: Kedzie Ave & Harrison St, dtype: int64","Mon Oct  4 10:12:09 2021    3
Name: Kedzie Ave & Harrison St, dtype: int64","Mon Oct  4 10:13:13 2021    3
Name: Kedzie Ave & Harrison St, dtype: int64","Mon Oct  4 10:14:19 2021    3
Name: Kedzie Ave & Harrison St, dtype: int64","Mon Oct  4 10:15:24 2021    3
Name: Kedzie Ave & Harrison St, dtype: int64","Mon Oct  4 10:16:30 2021    3
Name: Kedzie Ave & Harrison St, dtype: int64"
Ogden Ave & Roosevelt Rd,41.866501,-87.684697,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,"Mon Oct  4 10:10:00 2021    15
Name: Ogden Ave & Roosevelt Rd, dtype: int64","Mon Oct  4 10:11:05 2021    15
Name: Ogden Ave & Roosevelt Rd, dtype: int64","Mon Oct  4 10:12:09 2021    15
Name: Ogden Ave & Roosevelt Rd, dtype: int64","Mon Oct  4 10:13:13 2021    15
Name: Ogden Ave & Roosevelt Rd, dtype: int64","Mon Oct  4 10:14:19 2021    15
Name: Ogden Ave & Roosevelt Rd, dtype: int64","Mon Oct  4 10:15:24 2021    15
Name: Ogden Ave & Roosevelt Rd, dtype: int64","Mon Oct  4 10:16:30 2021    15
Name: Ogden Ave & Roosevelt Rd, dtype: int64"
Kedzie Ave & Roosevelt Rd,41.866492,-87.706496,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Mon Oct  4 10:10:00 2021    5
Name: Kedzie Ave & Roosevelt Rd, dtype: int64","Mon Oct  4 10:11:05 2021    5
Name: Kedzie Ave & Roosevelt Rd, dtype: int64","Mon Oct  4 10:12:09 2021    5
Name: Kedzie Ave & Roosevelt Rd, dtype: int64","Mon Oct  4 10:13:13 2021    5
Name: Kedzie Ave & Roosevelt Rd, dtype: int64","Mon Oct  4 10:14:19 2021    5
Name: Kedzie Ave & Roosevelt Rd, dtype: int64","Mon Oct  4 10:15:24 2021    5
Name: Kedzie Ave & Roosevelt Rd, dtype: int64","Mon Oct  4 10:16:30 2021    5
Name: Kedzie Ave & Roosevelt Rd, dtype: int64"
Fairfield Ave & Roosevelt Rd,41.866624,-87.694521,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,"Mon Oct  4 10:10:00 2021    8
Name: Fairfield Ave & Roosevelt Rd, dtype: int64","Mon Oct  4 10:11:05 2021    8
Name: Fairfield Ave & Roosevelt Rd, dtype: int64","Mon Oct  4 10:12:09 2021    8
Name: Fairfield Ave & Roosevelt Rd, dtype: int64","Mon Oct  4 10:13:13 2021    8
Name: Fairfield Ave & Roosevelt Rd, dtype: int64","Mon Oct  4 10:14:19 2021    8
Name: Fairfield Ave & Roosevelt Rd, dtype: int64","Mon Oct  4 10:15:24 2021    8
Name: Fairfield Ave & Roosevelt Rd, dtype: int64","Mon Oct  4 10:16:30 2021    8
Name: Fairfield Ave & Roosevelt Rd, dtype: int64"
Washtenaw Ave & Ogden Ave,41.86193,-87.69345,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Mon Oct  4 10:10:00 2021    5
Name: Washtenaw Ave & Ogden Ave, dtype: int64","Mon Oct  4 10:11:05 2021    5
Name: Washtenaw Ave & Ogden Ave, dtype: int64","Mon Oct  4 10:12:09 2021    5
Name: Washtenaw Ave & Ogden Ave, dtype: int64","Mon Oct  4 10:13:13 2021    5
Name: Washtenaw Ave & Ogden Ave, dtype: int64","Mon Oct  4 10:14:19 2021    5
Name: Washtenaw Ave & Ogden Ave, dtype: int64","Mon Oct  4 10:15:24 2021    5
Name: Washtenaw Ave & Ogden Ave, dtype: int64","Mon Oct  4 10:16:30 2021    5
Name: Washtenaw Ave & Ogden Ave, dtype: int64"
Central Park Ave & Ogden Ave,41.854063,-87.715117,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,"Mon Oct  4 10:10:00 2021    8
Name: Central Park Ave & Ogden Ave, dtype: int64","Mon Oct  4 10:11:05 2021    8
Name: Central Park Ave & Ogden Ave, dtype: int64","Mon Oct  4 10:12:09 2021    8
Name: Central Park Ave & Ogden Ave, dtype: int64","Mon Oct  4 10:13:13 2021    8
Name: Central Park Ave & Ogden Ave, dtype: int64","Mon Oct  4 10:14:19 2021    8
Name: Central Park Ave & Ogden Ave, dtype: int64","Mon Oct  4 10:15:24 2021    8
Name: Central Park Ave & Ogden Ave, dtype: int64","Mon Oct  4 10:16:30 2021    8
Name: Central Park Ave & Ogden Ave, dtype: int64"
Kedzie Ave & 21st St,41.853533,-87.705073,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Mon Oct  4 10:10:00 2021    5
Name: Kedzie Ave & 21st St, dtype: int64","Mon Oct  4 10:11:05 2021    5
Name: Kedzie Ave & 21st St, dtype: int64","Mon Oct  4 10:12:09 2021    5
Name: Kedzie Ave & 21st St, dtype: int64","Mon Oct  4 10:13:13 2021    5
Name: Kedzie Ave & 21st St, dtype: int64","Mon Oct  4 10:14:19 2021    5
Name: Kedzie Ave & 21st St, dtype: int64","Mon Oct  4 10:15:24 2021    5
Name: Kedzie Ave & 21st St, dtype: int64","Mon Oct  4 10:16:30 2021    5
Name: Kedzie Ave & 21st St, dtype: int64"
Central Park Ave & 24th St,41.8481,-87.715068,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Mon Oct  4 10:10:00 2021    2
Name: Central Park Ave & 24th St, dtype: int64","Mon Oct  4 10:11:05 2021    2
Name: Central Park Ave & 24th St, dtype: int64","Mon Oct  4 10:12:09 2021    2
Name: Central Park Ave & 24th St, dtype: int64","Mon Oct  4 10:13:13 2021    2
Name: Central Park Ave & 24th St, dtype: int64","Mon Oct  4 10:14:19 2021    2
Name: Central Park Ave & 24th St, dtype: int64","Mon Oct  4 10:15:24 2021    2
Name: Central Park Ave & 24th St, dtype: int64","Mon Oct  4 10:16:30 2021    2
Name: Central Park Ave & 24th St, dtype: int64"
Kedzie Ave & 24th St,41.84819,-87.705413,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"Mon Oct  4 10:10:00 2021    6
Name: Kedzie Ave & 24th St, dtype: int64","Mon Oct  4 10:11:05 2021    6
Name: Kedzie Ave & 24th St, dtype: int64","Mon Oct  4 10:12:09 2021    6
Name: Kedzie Ave & 24th St, dtype: int64","Mon Oct  4 10:13:13 2021    6
Name: Kedzie Ave & 24th St, dtype: int64","Mon Oct  4 10:14:19 2021    6
Name: Kedzie Ave & 24th St, dtype: int64","Mon Oct  4 10:15:24 2021    6
Name: Kedzie Ave & 24th St, dtype: int64","Mon Oct  4 10:16:30 2021    6
Name: Kedzie Ave & 24th St, dtype: int64"
California Ave & 23rd Pl,41.849109,-87.695139,6,6,6,6,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Mon Oct  4 10:10:00 2021    4
Name: California Ave & 23rd Pl, dtype: int64","Mon Oct  4 10:11:05 2021    4
Name: California Ave & 23rd Pl, dtype: int64","Mon Oct  4 10:12:09 2021    4
Name: California Ave & 23rd Pl, dtype: int64","Mon Oct  4 10:13:13 2021    4
Name: California Ave & 23rd Pl, dtype: int64","Mon Oct  4 10:14:19 2021    4
Name: California Ave & 23rd Pl, dtype: int64","Mon Oct  4 10:15:24 2021    4
Name: California Ave & 23rd Pl, dtype: int64","Mon Oct  4 10:16:30 2021    4
Name: California Ave & 23rd Pl, dtype: int64"
Millard Ave & 26th St,41.844531,-87.715921,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Mon Oct  4 10:10:00 2021    3
Name: Millard Ave & 26th St, dtype: int64","Mon Oct  4 10:11:05 2021    3
Name: Millard Ave & 26th St, dtype: int64","Mon Oct  4 10:12:09 2021    3
Name: Millard Ave & 26th St, dtype: int64","Mon Oct  4 10:13:13 2021    3
Name: Millard Ave & 26th St, dtype: int64","Mon Oct  4 10:14:19 2021    3
Name: Millard Ave & 26th St, dtype: int64","Mon Oct  4 10:15:24 2021    3
Name: Millard Ave & 26th St, dtype: int64","Mon Oct  4 10:16:30 2021    3
Name: Millard Ave & 26th St, dtype: int64"
Albany Ave & 26th St,41.844475,-87.702013,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"Mon Oct  4 10:10:00 2021    6
Name: Albany Ave & 26th St, dtype: int64","Mon Oct  4 10:11:05 2021    6
Name: Albany Ave & 26th St, dtype: int64","Mon Oct  4 10:12:09 2021    6
Name: Albany Ave & 26th St, dtype: int64","Mon Oct  4 10:13:13 2021    6
Name: Albany Ave & 26th St, dtype: int64","Mon Oct  4 10:14:19 2021    6
Name: Albany Ave & 26th St, dtype: int64","Mon Oct  4 10:15:24 2021    6
Name: Albany Ave & 26th St, dtype: int64","Mon Oct  4 10:16:30 2021    6
Name: Albany Ave & 26th St, dtype: int64"
California Ave & 26th St,41.84404,-87.695295,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Mon Oct  4 10:10:00 2021    4
Name: California Ave & 26th St, dtype: int64","Mon Oct  4 10:11:05 2021    4
Name: California Ave & 26th St, dtype: int64","Mon Oct  4 10:12:09 2021    4
Name: California Ave & 26th St, dtype: int64","Mon Oct  4 10:13:13 2021    4
Name: California Ave & 26th St, dtype: int64","Mon Oct  4 10:14:19 2021    4
Name: California Ave & 26th St, dtype: int64","Mon Oct  4 10:15:24 2021    4
Name: California Ave & 26th St, dtype: int64","Mon Oct  4 10:16:30 2021    4
Name: California Ave & 26th St, dtype: int64"
Western & 28th - Velasquez Institute Vaccination Site,41.841517,-87.685131,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Mon Oct  4 10:10:00 2021    2
Name: Western & 28th - Velasquez Institute Vaccination Site, dtype: int64","Mon Oct  4 10:11:05 2021    2
Name: Western & 28th - Velasquez Institute Vaccination Site, dtype: int64","Mon Oct  4 10:12:09 2021    2
Name: Western & 28th - Velasquez Institute Vaccination Site, dtype: int64","Mon Oct  4 10:13:13 2021    2
Name: Western & 28th - Velasquez Institute Vaccination Site, dtype: int64","Mon Oct  4 10:14:19 2021    2
Name: Western & 28th - Velasquez Institute Vaccination Site, dtype: int64","Mon Oct  4 10:15:24 2021    2
Name: Western & 28th - Velasquez Institute Vaccination Site, dtype: int64","Mon Oct  4 10:16:30 2021    2
Name: Western & 28th - Velasquez Institute Vaccination Site, dtype: int64"
Glenwood Ave & Morse Ave,42.007971,-87.665502,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"Mon Oct  4 10:10:00 2021    6
Name: Glenwood Ave & Morse Ave, dtype: int64","Mon Oct  4 10:11:05 2021    6
Name: Glenwood Ave & Morse Ave, dtype: int64","Mon Oct  4 10:12:09 2021    6
Name: Glenwood Ave & Morse Ave, dtype: int64","Mon Oct  4 10:13:13 2021    6
Name: Glenwood Ave & Morse Ave, dtype: int64","Mon Oct  4 10:14:19 2021    6
Name: Glenwood Ave & Morse Ave, dtype: int64","Mon Oct  4 10:15:24 2021    6
Name: Glenwood Ave & Morse Ave, dtype: int64","Mon Oct  4 10:16:30 2021    6
Name: Glenwood Ave & Morse Ave, dtype: int64"
